"Question","Topic"
"Em/bạn biết nấu món gì?","Đồ ăn"
"Em/bạn thích món gì, quán ăn ưa thích,...","Đồ ăn"
"Em có hay ăn khuya không? Nếu có thì hay ăn món gì nhất?","Đồ ăn"
"Có món nào em không ăn được không?","Đồ ăn"
"Lần nấu ăn tệ nhất của bạn là nấu gì ?","Đồ ăn"
"Em/bạn thích phim gì?","Sở thích"
"Em/bạn thích nhạc gì?","Sở thích"
"Em/bạn thích xem siêu nhân không?","Sở thích"
"Em/bạn thích chơi mô hình không?","Sở thích"
"Em/bạn thích cosplay hay ngắm cosplayer không?","Sở thích"
"Nếu cosplay thì em muốn bản thân cosplay nhân vật nào?","Sở thích"
"Em/bạn đi fes không? Em đã từng đi fes nào chưa?","Sở thích"
"Em/bạn thích/không thích học môn gì?","Học tập"
"Em có thành tích gì nổi bật trong 12 năm học sinh ?","Học tập"
"Có kỷ niệm nào không học vẫn điểm cao không, có bí quyết học tập gì không?","Học tập"
"Nếu bạn đã đỗ HUST, tại sao bạn lại chọn UET ?","Học tập"
"Thầy/cô bạn yêu quý nhất UET ?","Học tập"
"Em/bạn thích manga anime nào? thể loại gì, có bias hay ship không","Alimi"
"Em/bạn có waifu/husbando không?","Alimi"
"Em/bạn có bộ anime/manga nào mà mọi người cho là tệ nhưng bạn thấy hay không ?","Alimi"
"Em/bạn có chơi visual novel không?","Alimi"
"Em/bạn có định hướng chưa?","Sự nghiệp"
"Có nghề nào hồi bé em/bạn từng mong ước không?","Sự nghiệp"
"Em/bạn có tìm hiểu gì về học bổng du học chưa?","Sự nghiệp"
"Em/bạn có dự án hay ý tưởng khởi nghiệp chưa?","Sự nghiệp"
"Em/bạn có muốn clb phát ny không? 🐧","Clb"
"Em/bạn mong muốn clb tổ chức sự kiện gì?","Clb"
"Em có muốn đóng góp nhiều hơn cho công cuộc xây dựng, phát triển CLB trong thời đại mới không?","Clb"
"Em có cảm nhận gì về trưởng ban của mình ?","Clb"
"Bạn thấy ai đẹp trai nhất phòng này ?","Clb"
"Bạn thấy ai xinh nhất phòng này ?","Clb"
"Ai là người hiện tại bạn đang thân nhất trong JAPIT và ai là người bạn muốn làm thân nhất ?","Clb"
"Em/bạn có tài lẻ gì không?","Tài nghệ"
"Em/bạn có biết chơi nhạc cụ nào không?","Tài nghệ"
"Em/bạn biết làm thơ, viết truyện không?","Tài nghệ"
"Em có hay làm đồ thủ công hay DIY không?","Tài nghệ"
"Bạn đã và đang chơi có game gì ?","Tài nghệ"
"Bạn có tài năng gì mà bạn tự tin hơn tất cả những người ngồi đây ?","Tài nghệ"
"Có gì đó ít ng biết mà muốn chia sẻ cho mn không?","Tri thức bí ấn"
"Có nhóm nhạc hay anime manga nào không nổi nhưng mà em/bạn thấy hay không?","Tri thức bí ấn"
"Chia sẻ một bài nhạc mà bạn thích nghe mà bạn tự tin không ai biết ?","Tri thức bí ấn"
"Vật phẩm đáng giá nhất bạn đang sở hữu là gì ?","Tri thức bí ấn"
"Em từng có crush chưa ?","tình yêu tình báo"
"Miêu tả về gu của bạn ?","tình yêu tình báo"
"Bạn có người yêu chưa ? Miêu tả người yêu của bạn/người bạn đang yêu bằng 3 tính từ.","tình yêu tình báo"
"Em từng có Nốt Chu Sa không ?","tình yêu tình báo"
"Em từng có Bạch Nguyệt Quang không ?","tình yêu tình báo"
"Phó chủ nhiệm có đẹp trai không? 🙈","Câu hỏi khác"
"Phó chủ nhiệm mặc váy có xinh không?🌚","Câu hỏi khác"
"Phó chủ nhiệm mặc váy trông ngầu hay xinh hơn","Câu hỏi khác"
"Phó chủ nhiệm mặc váy hay mặc quần xinh hơn","Câu hỏi khác"
